Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
hungry,19,19,77.08,3.63,1.50,1.00
kitten,22,22,4.73,3.64,1.14,1.00
help,20,20,921.12,3.65,1.79,1.00
peekaboo,20,20,1.12,3.65,2.37,1.00
boy,18,18,529.82,3.67,1.88,1.00
butterfly,18,18,5.51,3.67,2.14,1.00
circle,18,18,21.51,3.67,0.91,1.00
fun,18,18,235.49,3.67,0.97,1.00
grandmother,21,21,27.78,3.67,1.28,1.00
pie,18,18,28.75,3.67,1.64,1.00
splash,18,18,4.22,3.67,2.35,1.00
steps,18,18,24.69,3.67,1.41,1.00
book,19,19,176.98,3.68,1.80,1.00
cat,22,22,66.33,3.68,1.52,1.00
doggy,19,19,4.41,3.68,1.73,1.00
doll,19,19,24.76,3.68,1.34,1.00
kitchen,19,19,58.31,3.68,1.11,1.00
lady,19,19,217.08,3.68,1.63,1.00
name,19,19,641.86,3.68,1.53,1.00
red,19,19,148.06,3.68,1.63,1.00
sister,19,19,180.53,3.68,2.40,1.00
talk,19,19,855.00,3.68,1.73,1.00
firetruck,21,21,0.06,3.69,1.89,1.00
his,21,21,2124.78,3.69,1.29,1.00
in,21,21,9773.41,3.69,1.86,1.00
like,21,21,3998.96,3.69,1.89,1.00
three,22,21,542.24,3.69,1.50,0.95
tail,20,20,23.90,3.70,1.13,1.00
clown,18,18,15.82,3.72,1.93,1.00
have,18,18,6161.41,3.72,1.96,1.00
nighttime,18,18,2.06,3.72,1.32,1.00
old,18,18,608.94,3.72,1.36,1.00
put,18,18,828.45,3.72,2.30,1.00
rice,18,18,15.08,3.72,1.41,1.00
sound,18,18,143.39,3.72,1.53,1.00
tummy,18,18,3.47,3.72,1.74,1.00
twirl,18,18,1.31,3.72,1.23,1.00
yogurt,18,18,2.27,3.72,2.44,1.00
butt,22,22,38.57,3.73,1.86,1.00
arms,21,21,59.80,3.74,2.14,1.00
fast,22,21,137.45,3.74,1.33,0.95
here,21,21,4525.25,3.74,1.94,1.00
couch,19,19,23.47,3.74,1.85,1.00
dark,19,19,88.61,3.74,1.37,1.00
eye,20,20,111.78,3.75,1.71,1.00
face,20,20,289.16,3.75,2.20,1.00
lie,20,20,120.25,3.75,0.91,1.00
zoo,20,20,13.65,3.75,1.12,1.00
hello,20,20,585.43,3.76,1.99,1.00
banana,18,18,10.73,3.78,1.17,1.00
bellybutton,18,18,0.65,3.78,1.83,1.00
brush,18,18,14.16,3.78,1.59,1.00
popsicle,18,18,1.61,3.78,1.35,1.00
son,18,18,410.76,3.78,1.26,1.00
boo,21,21,11.69,3.78,2.29,1.00
more,22,21,1298.59,3.78,2.04,0.95
bubble,19,19,8.00,3.79,1.78,1.00
bug,19,19,20.94,3.79,1.72,1.00
green,19,19,72.47,3.79,1.32,1.00
highchair,19,19,0.16,3.79,2.82,1.00
laugh,19,19,62.86,3.79,1.51,1.00
lip,19,19,10.75,3.79,1.13,1.00
scared,19,19,133.39,3.79,1.47,1.00
thank,19,19,1115.24,3.79,1.72,1.00
truck,19,19,72.86,3.79,1.47,1.00
wall,19,19,70.69,3.79,1.75,1.00
wish,19,19,235.12,3.79,0.92,1.00
aunt,20,20,55.20,3.80,1.61,1.00
hear,20,20,555.35,3.80,1.64,1.00
marshmallow,20,20,1.51,3.80,1.32,1.00
pink,20,20,28.47,3.80,1.61,1.00
music,21,21,151.65,3.81,2.50,1.00
he,22,22,7637.20,3.81,1.41,1.00
myself,22,22,342.55,3.81,1.44,1.00
who,22,22,2222.94,3.81,1.41,1.00
dirt,18,18,25.69,3.83,1.15,1.00
eyeball,18,18,1.84,3.83,1.54,1.00
yell,18,18,18.41,3.83,1.50,1.00
off,21,21,1179.51,3.83,2.09,1.00
baby,19,19,509.37,3.84,2.01,1.00
bathing,19,19,7.43,3.84,2.27,1.00
boat,19,19,95.78,3.84,1.46,1.00
pig,19,19,39.14,3.84,2.03,1.00
