"Word","OccurTotal","OccurNum","Freq_pm","Rating.Mean","Rating.SD","Dunno","word","word_clean","lexname","wn_category"
"confrontation",19,19,"1.92",8.58,2.32,1,"confrontation","confrontation","noun.communication","communication"
"duh",20,19,"3.98",8.58,5.01,0.95,"duh","duh",NA,NA
"experiment",19,19,"16.20",8.58,1.74,1,"experiment","experiment","noun.act","act"
"favoritism",19,19,"0.41",8.58,3.91,1,"favoritism","favoritism","noun.cognition","cognition"
"fireball",19,19,"1.49",8.58,2.55,1,"fireball","fireball","noun.phenomenon","phenomenon"
"flipper",20,19,"0.88",8.58,3.42,0.95,"flipper","flipper","noun.artifact","artifact"
"gargle",19,19,"0.59",8.58,3.27,1,"gargle","gargle","noun.substance","substance"
"homemaker",19,19,"0.33",8.58,3.29,1,"homemaker","homemaker","noun.person","person"
"hourglass",19,19,"0.96",8.58,4.44,1,"hourglass","hourglass","noun.artifact","artifact"
"hover",19,19,"1.16",8.58,3.2,1,"hover","hover",NA,NA
"listing",19,19,"1.88",8.58,2.41,1,"listing","listing","noun.communication","communication"
"mismatch",19,19,"0.22",8.58,2.48,1,"mismatch","mismatch","noun.cognition","cognition"
"modern",19,19,"18.24",8.58,2.89,1,"modern","modern","noun.person","person"
"northwestern",19,19,"1.61",8.58,1.46,1,"northwestern","northwestern",NA,NA
"odds",19,19,"19.02",8.58,3.52,1,"odds","odds","noun.attribute","attribute"
"prankster",19,19,"0.22",8.58,2.59,1,"prankster","prankster","noun.person","person"
"recognizable",19,19,"0.61",8.58,2.34,1,"recognizable","recognizable",NA,NA
"roam",19,19,"3.39",8.58,2.87,1,"roam","roam",NA,NA
"secretiveness",19,19,"0.04",8.58,2.93,1,"secretiveness","secretiveness","noun.attribute","attribute"
"sharpness",19,19,"0.24",8.58,2.78,1,"sharpness","sharpness","noun.cognition","cognition"
"spacious",19,19,"1.14",8.58,2.14,1,"spacious","spacious",NA,NA
"strictness",19,19,"0.02",8.58,3.11,1,"strictness","strictness","noun.attribute","attribute"
"submit",19,19,"5.53",8.58,2.48,1,"submit","submit",NA,NA
"surgeon",19,19,"16.43",8.58,3.27,1,"surgeon","surgeon","noun.person","person"
"suspect",19,19,"44.20",8.58,1.92,1,"suspect","suspect","noun.person","person"
"tarp",19,19,"0.98",8.58,2.89,1,"tarp","tarp","noun.artifact","artifact"
"vanish",19,19,"3.20",8.58,3.22,1,"vanish","vanish",NA,NA
"warehouse",19,19,"9.98",8.58,2.73,1,"warehouse","warehouse","noun.artifact","artifact"
"willing",19,19,"49.25",8.58,2.81,1,"willing","willing","noun.act","act"
"windowpane",20,19,"0.25",8.58,3.52,0.95,"windowpane","windowpane","noun.artifact","artifact"
"wintery",19,19,"0.02",8.58,2.61,1,"wintery","wintery",NA,NA
"cheers",22,22,"22.71",8.59,3.83,1,"cheers","cheers","noun.communication","communication"
"bandanna",18,17,"0.41",8.59,1.7,0.94,"bandanna","bandanna","noun.artifact","artifact"
"basketful",18,17,"0.12",8.59,3.28,0.94,"basketful","basketful","noun.quantity","quantity"
"equator",18,17,"0.61",8.59,2.4,0.94,"equator","equator","noun.location","location"
"frill",20,17,"0.02",8.59,3.61,0.85,"frill","frill","noun.body","body"
"jaybird",20,17,"0.22",8.59,3.39,0.85,"jaybird","jaybird","noun.animal","animal"
"reins",18,17,"1.45",8.59,2.48,0.94,"reins","reins","noun.artifact","artifact"
"slosh",18,17,"0.12",8.59,4.05,0.94,"slosh","slosh",NA,NA
"treelike",18,17,"0.02",8.59,3.68,0.94,"treelike","treelike",NA,NA
"uncalled",19,17,"0.76",8.59,3.71,0.89,"uncalled","uncalled",NA,NA
"wrongness",18,17,"0.08",8.59,2.94,0.94,"wrongness","wrongness","noun.attribute","attribute"
"accent",21,20,"12.18",8.6,3,0.95,"accent","accent","noun.communication","communication"
"adjective",20,20,"0.49",8.6,2.06,1,"adjective","adjective","noun.communication","communication"
"airfield",20,20,"2.31",8.6,2.62,1,"airfield","airfield","noun.artifact","artifact"
"asteroid",20,20,"1.69",8.6,2.46,1,"asteroid","asteroid","noun.object","object"
"choky",19,10,"0.04",8.6,2.37,0.53,"choky","choky","noun.artifact","artifact"
"drat",18,15,"0.90",8.6,2.85,0.83,"drat","drat",NA,NA
"embarrassing",20,20,"22.84",8.6,2.8,1,"embarrassing","embarrassing",NA,NA
"eternity",20,20,"7.98",8.6,2.04,1,"eternity","eternity","noun.time","time"
"gruesome",20,20,"2.04",8.6,2.01,1,"gruesome","gruesome",NA,NA
"hissy",19,15,"0.35",8.6,2.69,0.79,"hissy","hissy",NA,NA
"honeymoon",20,20,"16.20",8.6,3.35,1,"honeymoon","honeymoon","noun.time","time"
"issue",20,20,"34.14",8.6,3.08,1,"issue","issue","noun.cognition","cognition"
"jibber",21,15,"0.27",8.6,4.32,0.71,"jibber","jibber",NA,NA
"lively",20,20,"4.06",8.6,3.32,1,"lively","lively",NA,NA
"loopy",20,20,"0.65",8.6,1.82,1,"loopy","loopy",NA,NA
"prevent",20,20,"13.06",8.6,1.76,1,"prevent","prevent",NA,NA
"reflector",20,20,"0.27",8.6,2.58,1,"reflector","reflector","noun.artifact","artifact"
"skylight",20,20,"0.84",8.6,3.23,1,"skylight","skylight","noun.artifact","artifact"
"stickball",18,15,"0.25",8.6,2.41,0.83,"stickball","stickball","noun.act","act"
"stylist",20,20,"0.86",8.6,1.88,1,"stylist","stylist","noun.person","person"
"tempt",20,20,"2.53",8.6,2.35,1,"tempt","tempt",NA,NA
"unlikable",20,20,"0.18",8.6,3.82,1,"unlikable","unlikable",NA,NA
"aggravated",21,21,"1.25",8.61,2.18,1,"aggravated","aggravated",NA,NA
"armadillo",20,20,"3.02",8.61,2.26,1,"armadillo","armadillo","noun.animal","animal"
"nor",21,21,"35.98",8.61,2.16,1,"nor","nor",NA,NA
"nowadays",21,21,"7.04",8.61,2.58,1,"nowadays","nowadays","noun.time","time"
"oldfashioned",21,21,"#N/A",8.61,2.56,1,"oldfashioned","oldfashioned",NA,NA
"abdomen",18,18,"3.35",8.61,2.25,1,"abdomen","abdomen","noun.body","body"
"abuse",18,18,"10.25",8.61,2.73,1,"abuse","abuse","noun.act","act"
"accordion",18,18,"1.31",8.61,2.97,1,"accordion","accordion","noun.artifact","artifact"
"advice",18,18,"47.98",8.61,2.15,1,"advice","advice","noun.communication","communication"
"ancestor",18,18,"1.69",8.61,2.4,1,"ancestor","ancestor","noun.person","person"
"article",18,18,"19.57",8.61,1.79,1,"article","article","noun.communication","communication"
"ashy",19,18,"0.18",8.61,3.43,0.95,"ashy","ashy",NA,NA
"assistant",18,18,"32.22",8.61,1.97,1,"assistant","assistant","noun.person","person"
"boyhood",19,18,"0.61",8.61,2.99,0.95,"boyhood","boyhood","noun.time","time"
"breadbasket",18,18,"0.20",8.61,3.15,1,"breadbasket","breadbasket","noun.location","location"
"brunette",18,18,"3.49",8.61,2.97,1,"brunette","brunette","noun.person","person"
"champion",18,18,"20.92",8.61,4.07,1,"champion","champion","noun.person","person"
"comforter",18,18,"0.39",8.61,3.09,1,"comforter","comforter","noun.person","person"
"eastern",18,18,"8.12",8.61,3.42,1,"eastern","eastern",NA,NA
"eyeful",19,18,"0.43",8.61,3.01,0.95,"eyeful","eyeful","noun.person","person"
"fatness",18,18,"0.12",8.61,3.93,1,"fatness","fatness","noun.attribute","attribute"
"funky",18,18,"5.08",8.61,4.13,1,"funky","funky",NA,NA
"hairdressing",18,18,"0.33",8.61,3.66,1,"hairdressing","hairdressing","noun.artifact","artifact"
"intermediate",18,18,"0.45",8.61,1.75,1,"intermediate","intermediate","noun.substance","substance"
"kilometer",18,18,"0.39",8.61,2.38,1,"kilometer","kilometer","noun.quantity","quantity"
"llama",19,18,"1.41",8.61,2.85,0.95,"llama","llama","noun.animal","animal"
"luckless",18,18,"0.04",8.61,2.68,1,"luckless","luckless",NA,NA
"myth",18,18,"6.90",8.61,2.35,1,"myth","myth","noun.communication","communication"
"nimble",18,18,"0.59",8.61,2.79,1,"nimble","nimble",NA,NA
"offense",18,18,"16.47",8.61,2.73,1,"offense","offense","noun.act","act"
"overturn",18,18,"0.37",8.61,4.5,1,"overturn","overturn","noun.act","act"
"owe",18,18,"74.16",8.61,3.66,1,"owe","owe",NA,NA
"plunge",18,18,"2.24",8.61,2.85,1,"plunge","plunge","noun.act","act"
"poet",18,18,"9.22",8.61,2.2,1,"poet","poet","noun.person","person"
"pox",19,18,"1.47",8.61,2.66,0.95,"pox","pox","noun.state","state"
"punctuation",18,18,"0.43",8.61,1.58,1,"punctuation","punctuation","noun.event","event"
"puppetry",18,18,"0.04",8.61,2.55,1,"puppetry","puppetry","noun.cognition","cognition"
"recharge",18,18,"1.18",8.61,4.38,1,"recharge","recharge",NA,NA
"redneck",18,18,"1.76",8.61,2.17,1,"redneck","redneck","noun.person","person"
"rejoice",18,18,"1.69",8.61,2.75,1,"rejoice","rejoice",NA,NA
"sprint",18,18,"0.71",8.61,2.2,1,"sprint","sprint","noun.act","act"
"stepdaughter",18,18,"0.59",8.61,2.7,1,"stepdaughter","stepdaughter","noun.person","person"
"straightness",18,18,"0.02",8.61,2.75,1,"straightness","straightness","noun.attribute","attribute"
"torment",18,18,"2.73",8.61,2.7,1,"torment","torment","noun.state","state"
"unwilling",18,18,"1.16",8.61,3.2,1,"unwilling","unwilling",NA,NA
"waxed",18,18,"1.35",8.61,4.45,1,"waxed","waxed",NA,NA
"webbed",37,36,"0.33",8.61,2.97,0.97,"webbed","webbed",NA,NA
"weirdness",18,18,"0.94",8.61,3.2,1,"weirdness","weirdness","noun.attribute","attribute"
"wheeze",19,18,"0.57",8.61,3.33,0.95,"wheeze","wheeze","noun.act","act"
"windowless",19,18,"0.20",8.61,3.42,0.95,"windowless","windowless",NA,NA
"yellowy",19,18,"0.04",8.61,4.84,0.95,"yellowy","yellowy",NA,NA
"crick",22,18,"1.82",8.62,2.44,0.82,"crick","crick","noun.state","state"
"baddie",18,13,"0.02",8.62,5.47,0.72,"baddie","baddie","noun.person","person"
"candlepower",18,16,"0.02",8.62,2.78,0.89,"candlepower","candlepower","noun.attribute","attribute"
"clump",21,21,"0.53",8.62,3.04,1,"clump","clump","noun.group","group"
"daughterly",18,16,"0.02",8.62,3.44,0.89,"daughterly","daughterly",NA,NA
"dogface",18,16,"0.47",8.62,3.61,0.89,"dogface","dogface",NA,NA
"hencoop",19,16,"0.04",8.62,2.92,0.84,"hencoop","hencoop","noun.artifact","artifact"
"housemate",22,21,"0.08",8.62,2.78,0.95,"housemate","housemate","noun.person","person"
"neaten",20,13,"0.02",8.62,3.45,0.65,"neaten","neaten",NA,NA
"optometrist",18,16,"0.27",8.62,3.52,0.89,"optometrist","optometrist","noun.person","person"
"rapid",21,21,"4.37",8.62,2.75,1,"rapid","rapid","noun.object","object"
"thicken",21,21,"0.10",8.62,2.8,1,"thicken","thicken",NA,NA
"typical",21,21,"12.59",8.62,2.38,1,"typical","typical",NA,NA
"backboard",19,19,"0.47",8.63,3.32,1,"backboard","backboard","noun.artifact","artifact"
"bass",19,19,"7.55",8.63,3.02,1,"bass","bass","noun.attribute","attribute"
"boatyard",19,19,"0.25",8.63,2.89,1,"boatyard","boatyard","noun.artifact","artifact"
"chandelier",19,19,"1.41",8.63,2.24,1,"chandelier","chandelier","noun.artifact","artifact"
"clasp",19,19,"1.02",8.63,2.81,1,"clasp","clasp","noun.artifact","artifact"
"development",19,19,"12.25",8.63,1.83,1,"development","development","noun.act","act"
"disturbing",19,19,"9.08",8.63,2.89,1,"disturbing","disturbing",NA,NA
"dual",19,19,"1.12",8.63,1.95,1,"dual","dual",NA,NA
"egghead",19,19,"1.12",8.63,3.18,1,"egghead","egghead","noun.person","person"
"encounter",19,19,"5.57",8.63,2.77,1,"encounter","encounter","noun.act","act"
"fascination",19,19,"1.76",8.63,2.85,1,"fascination","fascination","noun.state","state"
"ferryboat",19,19,"0.41",8.63,2.99,1,"ferryboat","ferryboat","noun.artifact","artifact"
"folktale",19,19,"0.10",8.63,2.29,1,"folktale","folktale","noun.communication","communication"
"gadget",19,19,"2.43",8.63,3.06,1,"gadget","gadget","noun.artifact","artifact"
"hardware",19,19,"6.82",8.63,2.36,1,"hardware","hardware","noun.artifact","artifact"
"headquarter",19,19,"0.47",8.63,2.19,1,"headquarter","headquarter",NA,NA
"hedgehog",20,19,"0.29",8.63,2.71,0.95,"hedgehog","hedgehog","noun.animal","animal"
"hilarious",19,19,"5.78",8.63,3.27,1,"hilarious","hilarious",NA,NA
"hollowness",19,19,"0.10",8.63,2.87,1,"hollowness","hollowness","noun.state","state"
"hunchback",19,19,"0.98",8.63,2.52,1,"hunchback","hunchback","noun.state","state"
"husk",19,19,"0.41",8.63,3.3,1,"husk","husk","noun.substance","substance"
"insult",19,19,"12.53",8.63,2.43,1,"insult","insult","noun.communication","communication"
"jeopardy",19,19,"3.43",8.63,3.09,1,"jeopardy","jeopardy","noun.state","state"
"kitchenware",19,19,"0.04",8.63,3.42,1,"kitchenware","kitchenware","noun.artifact","artifact"
"knockdown",19,19,"0.35",8.63,4.19,1,"knockdown","knockdown","noun.act","act"
"magnificent",19,19,"13.22",8.63,2.41,1,"magnificent","magnificent",NA,NA
"mansions",19,19,"0.71",8.63,2.09,1,"mansions","mansions","noun.location","location"
"nausea",19,19,"2.16",8.63,2.31,1,"nausea","nausea","noun.state","state"
"newlywed",19,19,"0.43",8.63,2.79,1,"newlywed","newlywed","noun.person","person"
"opponent",19,19,"4.71",8.63,1.95,1,"opponent","opponent","noun.person","person"
"ordinary",19,19,"19.08",8.63,1.92,1,"ordinary","ordinary","noun.person","person"
"oxygen",19,19,"13.88",8.63,2.95,1,"oxygen","oxygen","noun.substance","substance"
"preparedness",19,19,"0.16",8.63,2.99,1,"preparedness","preparedness","noun.state","state"
"pronoun",19,19,"0.24",8.63,2.48,1,"pronoun","pronoun","noun.communication","communication"
"quicken",19,19,"0.27",8.63,3.73,1,"quicken","quicken",NA,NA
