participant_id,block,trial,image_name,posX,posY,image_stem,base_name,set,category
p005,1,1,cactus_2.jpg,736,104,cactus_2,cactus,2,plants
p005,1,1,cherry_2.jpg,320,624,cherry_2,cherry,2,plants
p005,1,1,flower_2.jpg,216,104,flower_2,flower,2,plants
p005,1,1,grass_2.jpg,112,624,grass_2,grass,2,plants
p005,1,1,leaf_2.jpg,1048,208,leaf_2,leaf,2,plants
p005,1,1,peanut_2.jpg,944,208,peanut_2,peanut,2,plants
p005,1,1,tree_2.jpg,424,208,tree_2,tree,2,plants
p005,1,2,butterfly_1.jpg,736,624,butterfly_1,butterfly,1,animals
p005,1,2,dolphin_1.jpg,840,312,dolphin_1,dolphin,1,animals
p005,1,2,fish_1.jpg,320,104,fish_1,fish,1,animals
p005,1,2,fox_1.jpg,528,312,fox_1,fox,1,animals
p005,1,2,horse_1.jpg,1048,104,horse_1,horse,1,animals
p005,1,2,ladybug_1.jpg,424,624,ladybug_1,ladybug,1,animals
p005,1,2,lion_1.jpg,528,624,lion_1,lion,1,animals
p005,1,2,peacock_1.jpg,528,104,peacock_1,peacock,1,animals
p005,1,2,pigeon_1.jpg,112,312,pigeon_1,pigeon,1,animals
p005,1,2,sheep_1.jpg,1048,416,sheep_1,sheep,1,animals
p005,1,2,squirrel_1.jpg,840,104,squirrel_1,squirrel,1,animals
p005,1,2,wolf_1.jpg,424,312,wolf_1,wolf,1,animals
p005,1,3,angry_3.jpg,944,624,angry_3,angry,3,emotions
p005,1,3,angry_4.jpg,528,624,angry_4,angry,4,emotions
p005,1,3,disgust_3.jpg,528,104,disgust_3,disgust,3,emotions
p005,1,3,disgust_4.jpg,424,104,disgust_4,disgust,4,emotions
p005,1,3,fearful_3.jpg,736,416,fearful_3,fearful,3,emotions
p005,1,3,fearful_4.jpg,528,520,fearful_4,fearful,4,emotions
p005,1,3,happy_3.jpg,632,208,happy_3,happy,3,emotions
p005,1,3,happy_4.jpg,736,208,happy_4,happy,4,emotions
p005,1,3,sad_3.jpg,736,624,sad_3,sad,3,emotions
p005,1,3,sad_4.jpg,632,624,sad_4,sad,4,emotions
p005,1,3,surprise_3.jpg,320,312,surprise_3,surprise,3,emotions
p005,1,3,surprise_4.jpg,1048,312,surprise_4,surprise,4,emotions
p005,2,4,acorn_1.jpg,736,104,acorn_1,acorn,1,plants
p005,2,4,apple_1.jpg,528,624,apple_1,apple,1,plants
p005,2,4,blueberry_1.jpg,528,416,blueberry_1,blueberry,1,plants
p005,2,4,broccoli_1.jpg,216,208,broccoli_1,broccoli,1,plants
p005,2,4,cabbage_1.jpg,840,104,cabbage_1,cabbage,1,plants
p005,2,4,cactus_1.jpg,216,312,cactus_1,cactus,1,plants
p005,2,4,cherry_1.jpg,632,624,cherry_1,cherry,1,plants
p005,2,4,flower_1.jpg,840,624,flower_1,flower,1,plants
p005,2,4,grass_1.jpg,528,312,grass_1,grass,1,plants
p005,2,4,leaf_1.jpg,1048,624,leaf_1,leaf,1,plants
p005,2,4,peanut_1.jpg,632,104,peanut_1,peanut,1,plants
p005,2,4,tree_1.jpg,1048,208,tree_1,tree,1,plants
p005,2,5,butterfly_2.jpg,944,104,butterfly_2,butterfly,2,animals
p005,2,5,dolphin_2.jpg,112,104,dolphin_2,dolphin,2,animals
p005,2,5,fish_2.jpg,112,624,fish_2,fish,2,animals
p005,2,5,fox_2.jpg,528,624,fox_2,fox,2,animals
p005,2,5,horse_2.jpg,840,416,horse_2,horse,2,animals
p005,2,5,ladybug_2.jpg,840,104,ladybug_2,ladybug,2,animals
p005,2,5,lion_2.jpg,320,312,lion_2,lion,2,animals
p005,2,5,peacock_2.jpg,320,104,peacock_2,peacock,2,animals
p005,2,5,pigeon_2.jpg,632,312,pigeon_2,pigeon,2,animals
p005,2,5,sheep_2.jpg,1048,208,sheep_2,sheep,2,animals
p005,2,5,squirrel_2.jpg,632,104,squirrel_2,squirrel,2,animals
p005,2,5,wolf_2.jpg,632,624,wolf_2,wolf,2,animals
p005,2,6,angry_1.jpg,424,624,angry_1,angry,1,emotions
p005,2,6,angry_2.jpg,320,624,angry_2,angry,2,emotions
p005,2,6,disgust_1.jpg,632,624,disgust_1,disgust,1,emotions
p005,2,6,disgust_2.jpg,528,624,disgust_2,disgust,2,emotions
p005,2,6,fearful_1.jpg,1048,520,fearful_1,fearful,1,emotions
p005,2,6,fearful_2.jpg,736,104,fearful_2,fearful,2,emotions
p005,2,6,happy_1.jpg,632,416,happy_1,happy,1,emotions
p005,2,6,happy_2.jpg,736,416,happy_2,happy,2,emotions
p005,2,6,sad_1.jpg,528,104,sad_1,sad,1,emotions
p005,2,6,sad_2.jpg,1048,104,sad_2,sad,2,emotions
p005,2,6,surprise_1.jpg,216,312,surprise_1,surprise,1,emotions
p005,2,6,surprise_2.jpg,320,312,surprise_2,surprise,2,emotions
p006,1,1,acorn_1.jpg,632,312,acorn_1,acorn,1,plants
p006,1,1,apple_1.jpg,320,208,apple_1,apple,1,plants
p006,1,1,blueberry_1.jpg,424,312,blueberry_1,blueberry,1,plants
p006,1,1,broccoli_1.jpg,840,208,broccoli_1,broccoli,1,plants
p006,1,1,cabbage_1.jpg,424,208,cabbage_1,cabbage,1,plants
p006,1,1,cactus_1.jpg,736,312,cactus_1,cactus,1,plants
p006,1,1,cherry_1.jpg,320,312,cherry_1,cherry,1,plants
p006,1,1,flower_1.jpg,632,208,flower_1,flower,1,plants
p006,1,1,grass_1.jpg,320,520,grass_1,grass,1,plants
p006,1,1,leaf_1.jpg,840,312,leaf_1,leaf,1,plants
p006,1,1,peanut_1.jpg,736,208,peanut_1,peanut,1,plants
p006,1,1,tree_1.jpg,216,520,tree_1,tree,1,plants
p006,1,2,butterfly_2.jpg,632,416,butterfly_2,butterfly,2,animals
p006,1,2,dolphin_2.jpg,632,312,dolphin_2,dolphin,2,animals
p006,1,2,fish_2.jpg,632,208,fish_2,fish,2,animals
p006,1,2,fox_2.jpg,424,208,fox_2,fox,2,animals
p006,1,2,horse_2.jpg,736,312,horse_2,horse,2,animals
p006,1,2,ladybug_2.jpg,424,312,ladybug_2,ladybug,2,animals
p006,1,2,lion_2.jpg,424,416,lion_2,lion,2,animals
p006,1,2,peacock_2.jpg,320,208,peacock_2,peacock,2,animals
p006,1,2,pigeon_2.jpg,736,416,pigeon_2,pigeon,2,animals
p006,1,2,sheep_2.jpg,736,208,sheep_2,sheep,2,animals
p006,1,2,squirrel_2.jpg,320,312,squirrel_2,squirrel,2,animals
p006,1,2,wolf_2.jpg,320,416,wolf_2,wolf,2,animals
p006,1,3,angry_3.jpg,632,312,angry_3,angry,3,emotions
p006,1,3,angry_4.jpg,424,208,angry_4,angry,4,emotions
p006,1,3,disgust_3.jpg,632,624,disgust_3,disgust,3,emotions
p006,1,3,disgust_4.jpg,632,208,disgust_4,disgust,4,emotions
p006,1,3,fearful_3.jpg,424,312,fearful_3,fearful,3,emotions
p006,1,3,fearful_4.jpg,216,520,fearful_4,fearful,4,emotions
p006,1,3,happy_3.jpg,528,208,happy_3,happy,3,emotions
p006,1,3,happy_4.jpg,320,520,happy_4,happy,4,emotions
p006,1,3,sad_3.jpg,1048,416,sad_3,sad,3,emotions
p006,1,3,sad_4.jpg,1048,312,sad_4,sad,4,emotions
p006,1,3,surprise_3.jpg,216,104,surprise_3,surprise,3,emotions
p006,1,3,surprise_4.jpg,112,520,surprise_4,surprise,4,emotions
p006,2,4,acorn_2.jpg,528,416,acorn_2,acorn,2,plants
p006,2,4,apple_2.jpg,528,312,apple_2,apple,2,plants
p006,2,4,blueberry_2.jpg,528,520,blueberry_2,blueberry,2,plants
p006,2,4,broccoli_2.jpg,424,208,broccoli_2,broccoli,2,plants
p006,2,4,cabbage_2.jpg,424,312,cabbage_2,cabbage,2,plants
p006,2,4,cactus_2.jpg,632,312,cactus_2,cactus,2,plants
p006,2,4,cherry_2.jpg,632,208,cherry_2,cherry,2,plants
p006,2,4,flower_2.jpg,528,624,flower_2,flower,2,plants
p006,2,4,grass_2.jpg,424,624,grass_2,grass,2,plants
p006,2,4,leaf_2.jpg,320,624,leaf_2,leaf,2,plants
p006,2,4,peanut_2.jpg,528,208,peanut_2,peanut,2,plants
p006,2,4,tree_2.jpg,632,624,tree_2,tree,2,plants
p006,2,5,butterfly_1.jpg,736,416,butterfly_1,butterfly,1,animals
p006,2,5,dolphin_1.jpg,736,312,dolphin_1,dolphin,1,animals
p006,2,5,fish_1.jpg,424,520,fish_1,fish,1,animals
p006,2,5,fox_1.jpg,528,520,fox_1,fox,1,animals
p006,2,5,horse_1.jpg,736,520,horse_1,horse,1,animals
p006,2,5,ladybug_1.jpg,424,312,ladybug_1,ladybug,1,animals
p006,2,5,lion_1.jpg,1048,520,lion_1,lion,1,animals
p006,2,5,peacock_1.jpg,632,520,peacock_1,peacock,1,animals
p006,2,5,pigeon_1.jpg,840,520,pigeon_1,pigeon,1,animals
p006,2,5,sheep_1.jpg,944,520,sheep_1,sheep,1,animals
p006,2,5,squirrel_1.jpg,424,416,squirrel_1,squirrel,1,animals
p006,2,5,wolf_1.jpg,424,624,wolf_1,wolf,1,animals
p006,2,6,angry_1.jpg,840,104,angry_1,angry,1,emotions
p006,2,6,angry_2.jpg,1048,520,angry_2,angry,2,emotions
p006,2,6,disgust_1.jpg,632,416,disgust_1,disgust,1,emotions
p006,2,6,disgust_2.jpg,1048,416,disgust_2,disgust,2,emotions
p006,2,6,fearful_1.jpg,424,416,fearful_1,fearful,1,emotions
p006,2,6,fearful_2.jpg,320,624,fearful_2,fearful,2,emotions
p006,2,6,happy_1.jpg,424,312,happy_1,happy,1,emotions
p006,2,6,happy_2.jpg,632,624,happy_2,happy,2,emotions
p006,2,6,sad_1.jpg,736,624,sad_1,sad,1,emotions
p006,2,6,sad_2.jpg,216,416,sad_2,sad,2,emotions
p006,2,6,surprise_1.jpg,216,520,surprise_1,surprise,1,emotions
p006,2,6,surprise_2.jpg,632,312,surprise_2,surprise,2,emotions
p007,1,1,angry_3.jpg,528,624,angry_3,angry,3,emotions
p007,1,1,angry_4.jpg,424,624,angry_4,angry,4,emotions
p007,1,1,disgust_3.jpg,944,416,disgust_3,disgust,3,emotions
p007,1,1,disgust_4.jpg,1048,624,disgust_4,disgust,4,emotions
p007,1,1,fearful_3.jpg,736,520,fearful_3,fearful,3,emotions
p007,1,1,fearful_4.jpg,840,520,fearful_4,fearful,4,emotions
p007,1,1,happy_3.jpg,736,624,happy_3,happy,3,emotions
p007,1,1,happy_4.jpg,1048,312,happy_4,happy,4,emotions
p007,1,1,sad_3.jpg,320,520,sad_3,sad,3,emotions
p007,1,1,sad_4.jpg,632,624,sad_4,sad,4,emotions
p007,1,1,surprise_3.jpg,944,624,surprise_3,surprise,3,emotions
p007,1,1,surprise_4.jpg,944,312,surprise_4,surprise,4,emotions
p007,1,2,acorn_2.jpg,736,312,acorn_2,acorn,2,plants
p007,1,2,apple_2.jpg,944,312,apple_2,apple,2,plants
p007,1,2,blueberry_2.jpg,632,624,blueberry_2,blueberry,2,plants
p007,1,2,broccoli_2.jpg,840,104,broccoli_2,broccoli,2,plants
p007,1,2,cabbage_2.jpg,424,624,cabbage_2,cabbage,2,plants
p007,1,2,cactus_2.jpg,320,624,cactus_2,cactus,2,plants
