participant_id,block,trial,image_name,posX,posY,category,set,base_name
p004,1,1,squirrel_2.jpg,2,4,animals,2,squirrel.jpg
p004,1,1,wolf_2.jpg,4,2,animals,2,wolf.jpg
p004,1,2,acorn_2.jpg,1,5,plants,2,acorn.jpg
p004,1,2,apple_2.jpg,6,1,plants,2,apple.jpg
p004,1,2,blueberry_2.jpg,7,1,plants,2,blueberry.jpg
p004,1,2,broccoli_2.jpg,4,1,plants,2,broccoli.jpg
p004,1,2,cabbage_2.jpg,8,1,plants,2,cabbage.jpg
p004,1,2,cactus_2.jpg,1,6,plants,2,cactus.jpg
p004,1,2,cherry_2.jpg,5,1,plants,2,cherry.jpg
p004,1,2,flower_2.jpg,4,2,plants,2,flower.jpg
p004,1,2,grass_2.jpg,4,5,plants,2,grass.jpg
p004,1,2,leaf_2.jpg,4,4,plants,2,leaf.jpg
p004,1,2,peanut_2.jpg,1,4,plants,2,peanut.jpg
p004,1,2,tree_2.jpg,4,3,plants,2,tree.jpg
p004,1,3,angry_3.jpg,10,2,emotions,3,angry.jpg
p004,1,3,angry_4.jpg,9,2,emotions,4,angry.jpg
p004,1,3,disgust_3.jpg,2,2,emotions,3,disgust.jpg
p004,1,3,disgust_4.jpg,8,2,emotions,4,disgust.jpg
p004,1,3,fearful_3.jpg,4,1,emotions,3,fearful.jpg
p004,1,3,fearful_4.jpg,9,1,emotions,4,fearful.jpg
p004,1,3,happy_3.jpg,6,1,emotions,3,happy.jpg
p004,1,3,happy_4.jpg,7,1,emotions,4,happy.jpg
p004,1,3,sad_3.jpg,4,2,emotions,3,sad.jpg
p004,1,3,sad_4.jpg,3,2,emotions,4,sad.jpg
p004,1,3,surprise_3.jpg,5,1,emotions,3,surprise.jpg
p004,1,3,surprise_4.jpg,8,1,emotions,4,surprise.jpg
p004,2,4,butterfly_1.jpg,1,5,animals,1,butterfly.jpg
p004,2,4,dolphin_1.jpg,10,6,animals,1,dolphin.jpg
p004,2,4,fish_1.jpg,10,5,animals,1,fish.jpg
p004,2,4,fox_1.jpg,10,4,animals,1,fox.jpg
p004,2,4,horse_1.jpg,6,6,animals,1,horse.jpg
p004,2,4,ladybug_1.jpg,1,4,animals,1,ladybug.jpg
p004,2,4,lion_1.jpg,10,3,animals,1,lion.jpg
p004,2,4,peacock_1.jpg,5,6,animals,1,peacock.jpg
